ref_area,ref_area_label,indicator,indicator_label,unit_measure,unit_measure_label,unit_type,unit_type_label,comp_breakdown_1_label,comp_breakdown_2,comp_breakdown_2_label,time_period,obs_value,obs_status_label,obs_conf_label,period,year,month,phase,metric,phase_order
ZAF,South Africa,IPC_IPC_PHASE,People in each phase of food insecurity classification,PS,Persons,COUNT,Count (Integer),Analysis Period Classification : Current Measurement,IPC_IPC_PHASE1,Severity Phase of Acute Food Insecurity or Malnutrition : Phase 1 - Minimal,2020-10,34950493.0,Normal value,Public,2020-10-01,2020,10,Phase 1 - Minimal,people,1.0
ZAF,South Africa,IPC_IPC_PHASE,People in each phase of food insecurity classification,PS,Persons,COUNT,Count (Integer),Analysis Period Classification : Current Measurement,IPC_IPC_PHASE2,Severity Phase of Acute Food Insecurity or Malnutrition : Phase 2 - Stressed,2020-10,14844785.0,Normal value,Public,2020-10-01,2020,10,Phase 2 - Stressed,people,2.0
ZAF,South Africa,IPC_IPC_PHASE,People in each phase of food insecurity classification,PS,Persons,COUNT,Count (Integer),Analysis Period Classification : Current Measurement,IPC_IPC_PHASE3,Severity Phase of Acute Food Insecurity or Malnutrition : Phase 3 - Crisis,2020-10,8175072.0,Normal value,Public,2020-10-01,2020,10,Phase 3 - Crisis,people,3.0
ZAF,South Africa,IPC_IPC_PHASE,People in each phase of food insecurity classification,PS,Persons,COUNT,Count (Integer),Analysis Period Classification : Current Measurement,IPC_IPC_PHASE4,Severity Phase of Acute Food Insecurity or Malnutrition : Phase 4 - Emergency,2020-10,1160087.0,Normal value,Public,2020-10-01,2020,10,Phase 4 - Emergency,people,4.0
ZAF,South Africa,IPC_IPC_PHASE,People in each phase of food insecurity classification,PS,Persons,COUNT,Count (Integer),Analysis Period Classification : Current Measurement,IPC_IPC_PHASE5,Severity Phase of Acute Food Insecurity or Malnutrition : Phase 5 - Famine,2020-10,,Missing value,Public,2020-10-01,2020,10,Phase 5 - Famine,people,5.0
ZAF,South Africa,IPC_IPC_PHASE,People in each phase of food insecurity classification,PT,Percentage,RATIO,Ratio,Analysis Period Classification : Current Measurement,IPC_IPC_PHASE1,Severity Phase of Acute Food Insecurity or Malnutrition : Phase 1 - Minimal,2020-10,59.0,Normal value,Public,2020-10-01,2020,10,Phase 1 - Minimal,percentage,1.0
ZAF,South Africa,IPC_IPC_PHASE,People in each phase of food insecurity classification,PT,Percentage,RATIO,Ratio,Analysis Period Classification : Current Measurement,IPC_IPC_PHASE2,Severity Phase of Acute Food Insecurity or Malnutrition : Phase 2 - Stressed,2020-10,25.0,Normal value,Public,2020-10-01,2020,10,Phase 2 - Stressed,percentage,2.0
ZAF,South Africa,IPC_IPC_PHASE,People in each phase of food insecurity classification,PT,Percentage,RATIO,Ratio,Analysis Period Classification : Current Measurement,IPC_IPC_PHASE3,Severity Phase of Acute Food Insecurity or Malnutrition : Phase 3 - Crisis,2020-10,14.000000000000002,Normal value,Public,2020-10-01,2020,10,Phase 3 - Crisis,percentage,3.0
ZAF,South Africa,IPC_IPC_PHASE,People in each phase of food insecurity classification,PT,Percentage,RATIO,Ratio,Analysis Period Classification : Current Measurement,IPC_IPC_PHASE4,Severity Phase of Acute Food Insecurity or Malnutrition : Phase 4 - Emergency,2020-10,2.0,Normal value,Public,2020-10-01,2020,10,Phase 4 - Emergency,percentage,4.0
ZAF,South Africa,IPC_IPC_PHASE,People in each phase of food insecurity classification,PT,Percentage,RATIO,Ratio,Analysis Period Classification : Current Measurement,IPC_IPC_PHASE5,Severity Phase of Acute Food Insecurity or Malnutrition : Phase 5 - Famine,2020-10,,Missing value,Public,2020-10-01,2020,10,Phase 5 - Famine,percentage,5.0
